target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0.5,,,0.8426247436722498,0.7926341072858286,0.20736589271417133,0.7361273706391945,0.2638726293608054,0.46764289088332545,0.9238906846899795,0.07610931531002058,3144,1127,259,990
F,,0,0.5,M,,0.8389659326440633,0.8205445544554455,0.17945544554455445,0.6919295370749693,0.3080704629250307,0.4685512367491166,0.920937840785169,0.07906215921483097,1689,752,145,663
F,,0,0.5,F,,0.8482534726094445,0.7414965986394558,0.2585034013605442,0.7950819672131147,0.20491803278688525,0.4658119658119658,0.9273422562141491,0.07265774378585087,1455,375,114,327
F,,0,0.5,,0-20,0.8716729559748427,0.94,0.06,0.6452830188679245,0.35471698113207545,0.6,0.95,0.05,171,94,9,141
F,,0,0.5,,20-40,0.8625327371908957,0.8068783068783069,0.1931216931216931,0.7566089334548769,0.24339106654512307,0.5332167832167832,0.9191583610188261,0.08084163898117387,830,267,73,305
F,,0,0.5,,40-60,0.8368314890435788,0.7593818984547461,0.24061810154525387,0.7513312034078807,0.24866879659211927,0.4241676942046856,0.9282894736842106,0.07171052631578947,1411,467,109,344
F,,0,0.5,,60-80,0.7962927995971802,0.74609375,0.25390625,0.7109768378650554,0.2890231621349446,0.399581589958159,0.9156939040207522,0.08430609597924774,706,287,65,191
F,,0,0.5,,80+,0.8070175438596492,0.75,0.25,0.6842105263157895,0.3157894736842105,0.42857142857142855,0.896551724137931,0.10344827586206896,26,12,3,9
F,,0,0.5,M,0-20,0.8789419030442149,0.9439252336448598,0.056074766355140186,0.6198830409356725,0.38011695906432746,0.608433734939759,0.9464285714285714,0.05357142857142857,106,65,6,101
F,,0,0.5,M,20-40,0.8493506829470198,0.8125,0.1875,0.706953642384106,0.29304635761589404,0.5402597402597402,0.8989473684210526,0.10105263157894737,427,177,48,208
F,,0,0.5,M,40-60,0.8431211008047971,0.8235294117647058,0.17647058823529413,0.6974789915966386,0.3025210084033613,0.4234875444839858,0.9360902255639098,0.06390977443609022,747,324,51,238
F,,0,0.5,M,60-80,0.7780221006808796,0.7483870967741936,0.25161290322580643,0.6885813148788927,0.31141868512110726,0.3918918918918919,0.9107551487414187,0.08924485125858124,398,180,39,116
F,,0,0.5,M,80+,0.2941176470588235,0.0,1.0,0.6470588235294118,0.35294117647058826,0.0,0.9166666666666666,0.08333333333333333,11,6,1,0
F,,0,0.5,F,0-20,0.8495794161306285,0.9302325581395349,0.06976744186046512,0.6914893617021277,0.30851063829787234,0.5797101449275363,0.9558823529411765,0.04411764705882353,65,29,3,40
F,,0,0.5,F,20-40,0.8815050044890765,0.7950819672131147,0.20491803278688525,0.8174442190669371,0.18255578093306288,0.5187165775401069,0.9415887850467289,0.05841121495327103,403,90,25,97
F,,0,0.5,F,40-60,0.829978541421102,0.6463414634146342,0.35365853658536583,0.8228004956629492,0.1771995043370508,0.42570281124497994,0.9196675900277008,0.08033240997229917,664,143,58,106
F,,0,0.5,F,60-80,0.8233329357032089,0.7425742574257426,0.25742574257425743,0.7421686746987952,0.25783132530120484,0.41208791208791207,0.9221556886227545,0.07784431137724551,308,107,26,75
F,,0,0.5,F,80+,0.8658008658008658,0.8181818181818182,0.18181818181818182,0.7142857142857143,0.2857142857142857,0.6,0.8823529411764706,0.11764705882352941,15,6,2,9
F,,1,0.5,,,0.8373481271554355,0.8414731785428343,0.15852682145716573,0.6771247951299462,0.32287520487005383,0.43251028806584363,0.9359223300970874,0.06407766990291262,2892,1379,198,1051
F,,1,0.5,M,,0.831285161494437,0.844059405940594,0.15594059405940594,0.6444080294961082,0.35559197050389185,0.44,0.9258387286639199,0.07416127133608005,1573,868,126,682
F,,1,0.5,F,,0.8442697297498234,0.8367346938775511,0.16326530612244897,0.7207650273224043,0.2792349726775956,0.4193181818181818,0.9482386772106398,0.05176132278936017,1319,511,72,369
F,,1,0.5,,0-20,0.8694842767295597,0.9266666666666666,0.07333333333333333,0.5849056603773585,0.41509433962264153,0.5582329317269076,0.9337349397590361,0.06626506024096386,155,110,11,139
F,,1,0.5,,20-40,0.857815687806572,0.8571428571428571,0.14285714285714285,0.6818596171376481,0.31814038286235186,0.4814264487369985,0.9326683291770573,0.06733167082294264,748,349,54,324
F,,1,0.5,,40-60,0.8250146344215701,0.8300220750551877,0.16997792494481237,0.6900958466453674,0.30990415335463256,0.3924843423799583,0.943918426802622,0.056081573197378005,1296,582,77,376
F,,1,0.5,,60-80,0.8023901686807654,0.79296875,0.20703125,0.67472306143001,0.3252769385699899,0.38593155893536124,0.9266943291839558,0.07330567081604426,670,323,53,203
F,,1,0.5,,80+,0.8114035087719297,0.75,0.25,0.6052631578947368,0.39473684210526316,0.375,0.8846153846153846,0.11538461538461539,23,15,3,9
F,,1,0.5,M,0-20,0.8782314040553095,0.9345794392523364,0.06542056074766354,0.5730994152046783,0.4269005847953216,0.5780346820809249,0.9333333333333333,0.06666666666666667,98,73,7,100
F,,1,0.5,M,20-40,0.8422237168874172,0.83984375,0.16015625,0.6440397350993378,0.35596026490066224,0.5,0.9046511627906977,0.09534883720930233,389,215,41,215
F,,1,0.5,M,40-60,0.823371101612502,0.8512110726643599,0.14878892733564014,0.6470588235294118,0.35294117647058826,0.3942307692307692,0.9415760869565217,0.058423913043478264,693,378,43,246
F,,1,0.5,M,60-80,0.7905569818060051,0.7806451612903226,0.21935483870967742,0.6608996539792388,0.3391003460207612,0.38170347003154576,0.9182692307692307,0.08173076923076923,382,196,34,121
F,,1,0.5,M,80+,0.05882352941176472,0.0,1.0,0.6470588235294118,0.35294117647058826,0.0,0.9166666666666666,0.08333333333333333,11,6,1,0
