target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,0-20,0,0,,,0.5534441161337763,0.4162012525045251,0.5837987474954749,0.6566298027590924,0.34337019724090756,0.5880928934843263,0.48846124487943887,0.5115387551205611,57593,30117,60314,42999
F,0-20,0,0,M,,0.5524582272516216,0.4378028280431128,0.5621971719568871,0.6351096691469315,0.3648903308530686,0.5858160407524202,0.48935692473504583,0.5106430752649542,32691,18782,34113,26565
F,0-20,0,0,F,,0.5553368435175593,0.38545795707751845,0.6145420429224815,0.6871981676187322,0.31280183238126774,0.5918110122798804,0.48729037434201516,0.5127096256579848,24902,11335,26201,16434
F,0-20,0,0,,0-20,0.6033900647607013,0.4271978021978022,0.5728021978021978,0.715605749486653,0.28439425051334705,0.5289115646258503,0.625673249551167,0.374326750448833,697,277,417,311
F,0-20,0,0,,20-40,0.5809380354513725,0.42442531286056623,0.5755746871394337,0.6910868747649492,0.30891312523505077,0.5379682753965576,0.586231098066739,0.41376890193326105,9188,4107,6485,4782
F,0-20,0,0,,40-60,0.5578824989769527,0.41907139291063406,0.580928607089366,0.6595558664102116,0.3404441335897884,0.5639613007256113,0.5193589249325329,0.4806410750674671,18860,9735,17454,12591
F,0-20,0,0,,60-80,0.5408007035395903,0.41635854077859685,0.5836414592214032,0.6339486578939258,0.36605134210607415,0.5981324220996718,0.453575287191586,0.546424712808414,20571,11878,24782,17679
F,0-20,0,0,,80+,0.5549861949000269,0.4059111205613438,0.5940888794386562,0.6676615310155682,0.3323384689844317,0.6495406600884654,0.42548707140286846,0.5745129285971315,8277,4120,11176,7636
F,0-20,0,0,M,0-20,0.5957468593706927,0.41952506596306066,0.5804749340369393,0.7164179104477612,0.2835820895522388,0.45558739255014324,0.6857142857142857,0.3142857142857143,480,190,220,159
F,0-20,0,0,M,20-40,0.5803331945840005,0.44032672818030555,0.5596732718196944,0.6757548732322589,0.3242451267677411,0.5335410557184751,0.5890715237672146,0.41092847623278544,5304,2545,3700,2911
F,0-20,0,0,M,40-60,0.5533410441780765,0.4293644185401055,0.5706355814598946,0.6416104258785199,0.3583895741214801,0.5566750629722922,0.5175520931105688,0.4824479068894312,11028,6160,10280,7735
F,0-20,0,0,M,60-80,0.5392076419350489,0.4399563744011218,0.5600436255988782,0.6116559403411993,0.3883440596588007,0.5976822944226903,0.4544074678404736,0.5455925321595264,11975,7603,14378,11295
F,0-20,0,0,M,80+,0.5563051470588236,0.4465,0.5535,0.6308985132514544,0.3691014867485456,0.6615794932582605,0.4136031359254158,0.5863968640745841,3904,2284,5535,4465
F,0-20,0,0,F,0-20,0.6130674106469611,0.4355300859598854,0.5644699140401146,0.7138157894736842,0.28618421052631576,0.6359832635983264,0.5241545893719807,0.4758454106280193,217,87,197,152
F,0-20,0,0,F,20-40,0.5824370963966112,0.4018470790378007,0.5981529209621993,0.7131839882482556,0.2868160117517444,0.5450043693562482,0.5823961613435298,0.4176038386564702,3884,1562,2785,1871
F,0-20,0,0,F,40-60,0.5651472266121755,0.4036575228595179,0.5963424771404822,0.686595949855352,0.313404050144648,0.5759696358676314,0.5219245635079302,0.47807543649206985,7832,3575,7174,4856
F,0-20,0,0,F,60-80,0.5436401730542664,0.38027162258756253,0.6197283774124375,0.667857975293295,0.332142024706705,0.5989304812834224,0.45242105263157895,0.547578947368421,8596,4275,10404,6384
F,0-20,0,0,F,80+,0.5502571677284237,0.3598502042669088,0.6401497957330913,0.7043002093734901,0.2956997906265099,0.6333133612941881,0.4366886359097264,0.5633113640902736,4373,1836,5641,3171
F,0-20,0,0.05,,,0.5783959698287736,0.48821542303485527,0.5117845769651448,0.6189146049481244,0.3810853950518755,0.6014380425450729,0.5065836747263412,0.49341632527365875,54285,33425,52874,50439
F,0-20,0,0.05,M,,0.5665435290482599,0.514436863443093,0.48556313655690697,0.5779340625182134,0.42206593748178656,0.5896297695504344,0.5024066474134874,0.49759335258651266,29748,21725,29463,31215
F,0-20,0,0.05,F,,0.5963963845007325,0.4508971502286854,0.5491028497713146,0.6771255898667108,0.32287441013328916,0.6216530849825378,0.511741887044298,0.488258112955702,24537,11700,23411,19224
F,0-20,0,0.05,,0-20,0.6149333212988244,0.5879120879120879,0.41208791208791207,0.5687885010266941,0.43121149897330596,0.5047169811320755,0.6487119437939111,0.351288056206089,554,420,300,428
F,0-20,0,0.05,,20-40,0.6115854148841583,0.5703381556758675,0.4296618443241324,0.5827754795035728,0.4172245204964272,0.5367075920821849,0.6154579394709667,0.3845420605290333,7748,5547,4841,6426
F,0-20,0,0.05,,40-60,0.5875252715145385,0.5062406390414378,0.49375936095856215,0.6126595558664102,0.3873404441335898,0.5786350148367952,0.5414786425171539,0.458521357482846,17519,11076,14835,15210
F,0-20,0,0.05,,60-80,0.5725993406951669,0.46423777113115566,0.5357622288688444,0.6351197263397947,0.36488027366020526,0.6247464503042597,0.4753217399326537,0.5246782600673463,20609,11840,22749,19712
F,0-20,0,0.05,,80+,0.5660807095973694,0.46050393365936637,0.5394960663406336,0.6336210373477454,0.36637896265225456,0.6560393790230973,0.43629193512552766,0.5637080648744723,7855,4542,10149,8663
F,0-20,0,0.05,M,0-20,0.6013074469341945,0.5883905013192612,0.41160949868073876,0.5537313432835821,0.4462686567164179,0.4272030651340996,0.7039848197343453,0.29601518026565465,371,299,156,223
F,0-20,0,0.05,M,20-40,0.5955418661866848,0.5906821963394343,0.40931780366056575,0.5423620843419544,0.4576379156580456,0.520875016673336,0.6113744075829384,0.3886255924170616,4257,3592,2706,3905
F,0-20,0,0.05,M,40-60,0.5743399970972913,0.5262836525117958,0.4737163474882043,0.5735396788457063,0.4264603211542937,0.5639759681161145,0.5359939103958242,0.4640060896041757,9858,7330,8534,9481
F,0-20,0,0.05,M,60-80,0.5610372680009065,0.4924239473376699,0.5075760526623301,0.5929104096434774,0.40708959035652265,0.6133320395885892,0.4711230163561833,0.5288769836438167,11608,7970,13031,12642
F,0-20,0,0.05,M,80+,0.5576857789269554,0.4964,0.5036,0.5904977375565611,0.4095022624434389,0.6620432115230728,0.4204833141542002,0.5795166858457997,3654,2534,5036,4964
F,0-20,0,0.05,F,0-20,0.6340766852661741,0.5873925501432665,0.41260744985673353,0.6019736842105263,0.3980263157894737,0.6288343558282209,0.5596330275229358,0.44036697247706424,183,121,144,205
F,0-20,0,0.05,F,20-40,0.6359108382772185,0.5414518900343642,0.4585481099656357,0.6410209327947117,0.35897906720528827,0.5632260947274352,0.6205119089939566,0.37948809100604336,3491,1955,2135,2521
F,0-20,0,0.05,F,40-60,0.6084951591973574,0.4762261014131338,0.5237738985868662,0.6716051547295521,0.328394845270448,0.6046437994722955,0.5487036241226185,0.4512963758773815,7661,3746,6301,5729
F,0-20,0,0.05,F,60-80,0.5914900251829027,0.4211341434357875,0.5788658565642125,0.6993240618444565,0.30067593815554344,0.6462522851919561,0.4808483359153801,0.5191516640846199,9001,3870,9718,7070
F,0-20,0,0.05,F,80+,0.5722747030780659,0.41976849750340445,0.5802315024965955,0.6765984860686101,0.32340151393138994,0.6481513930261082,0.45104144298904875,0.5489585570109513,4201,2008,5113,3699
F,0-20,0,0.1,,,0.6061075000466558,0.5955107295306495,0.4044892704693504,0.5593546915973093,0.44064530840269067,0.6141774729717588,0.5400220143093011,0.459977985690699,49061,38649,41789,61524
F,0-20,0,0.1,M,,0.6029657127997556,0.6183954645835393,0.38160453541646067,0.5312688205466943,0.4687311794533056,0.6086455798864558,0.5414942278370726,0.4585057721629275,27346,24127,23155,37523
F,0-20,0,0.1,F,,0.6110123896407083,0.5629412454556116,0.4370587545443884,0.5992493859866986,0.4007506140133013,0.623030397424915,0.5381793848670351,0.4618206151329649,21715,14522,18634,24001
F,0-20,0,0.1,,0-20,0.6671198411444819,0.49038461538461536,0.5096153846153846,0.7453798767967146,0.2546201232032854,0.5900826446280992,0.6618049225159526,0.3381950774840474,726,248,371,357
F,0-20,0,0.1,,20-40,0.6540254594344468,0.5396290050590219,0.46037099494097805,0.6842421963144039,0.3157578036855961,0.5915547771940066,0.6368664239708766,0.3631335760291235,9097,4198,5187,6080
F,0-20,0,0.1,,40-60,0.6109872633493079,0.5976701614245299,0.4023298385754701,0.5687357929707991,0.43126420702920093,0.5928554920928389,0.5736305597686149,0.4263694402313851,16263,12332,12088,17957
F,0-20,0,0.1,,60-80,0.5843784569563034,0.611054850333247,0.38894514966675303,0.5093223211809301,0.49067767881906993,0.619709563389701,0.5001815870710006,0.4998184129289995,16527,15922,16515,25946
F,0-20,0,0.1,,80+,0.5814503728455838,0.5945141399106953,0.4054858600893047,0.5201258368960232,0.4798741631039768,0.6527753458238487,0.4580846831486218,0.5419153168513783,6448,5949,7628,11184
F,0-20,0,0.1,M,0-20,0.6513724254715866,0.44327176781002636,0.5567282321899736,0.753731343283582,0.2462686567164179,0.5045045045045045,0.7053072625698324,0.2946927374301676,505,165,211,168
F,0-20,0,0.1,M,20-40,0.6460794878925871,0.5489335955226138,0.45106640447738616,0.6617403490890559,0.33825965091094407,0.5774984086569064,0.6352739726027398,0.3647260273972603,5194,2655,2982,3629
F,0-20,0,0.1,M,40-60,0.6067492320643252,0.617540938107133,0.38245906189286705,0.5440423551314871,0.4559576448685129,0.5866997152199135,0.5757650390985777,0.4242349609014223,9351,7837,6890,11125
F,0-20,0,0.1,M,60-80,0.5803036700883402,0.6340123865539672,0.3659876134460328,0.4782919603636735,0.5217080396363265,0.6144350911630365,0.49914712153518126,0.5008528784648187,9364,10214,9396,16277
F,0-20,0,0.1,M,80+,0.5770341144149967,0.6324,0.3676,0.4738202973497091,0.5261797026502909,0.6601252609603341,0.4437046004842615,0.5562953995157385,2932,3256,3676,6324
F,0-20,0,0.1,F,0-20,0.6747851002865329,0.5415472779369628,0.4584527220630373,0.7269736842105263,0.2730263157894737,0.6948529411764706,0.5800524934383202,0.4199475065616798,221,83,160,189
F,0-20,0,0.1,F,20-40,0.666009559019325,0.5264175257731959,0.4735824742268041,0.7166727873668748,0.2833272126331252,0.6136705057586379,0.6389980353634578,0.3610019646365422,3903,1543,2205,2451
F,0-20,0,0.1,F,40-60,0.6181114234664062,0.5679135494596841,0.43208645054031586,0.6059437187691769,0.3940562812308232,0.603160589741326,0.5707679603633361,0.4292320396366639,6912,4495,5198,6832
F,0-20,0,0.1,F,60-80,0.5906289463116406,0.5759471050750536,0.4240528949249464,0.5565224147307901,0.44347758526920983,0.6287962541458022,0.5015404005041311,0.49845959949586893,7163,5708,7119,9669
F,0-20,0,0.1,F,80+,0.5828605968361713,0.5515206536541081,0.448479346345892,0.566274762441617,0.433725237558383,0.6434529326095592,0.4708087841456883,0.5291912158543117,3516,2693,3952,4860
F,0-20,0,0.25,,,0.6360512355521343,0.5846892453031081,0.415310754696892,0.6091437692395394,0.3908562307604606,0.6379477864143291,0.5546063216899362,0.4453936783100638,53428,34282,42907,60406
F,0-20,0,0.25,M,,0.6313472191220345,0.6009591614753288,0.3990408385246712,0.5848503098711946,0.41514969012880537,0.6305114638447972,0.5542279580978331,0.4457720419021669,30104,21369,24213,36465
F,0-20,0,0.25,F,,0.6432987493994158,0.5615339509792424,0.4384660490207576,0.6436515164058835,0.3563484835941165,0.6496174092364465,0.5550954352896378,0.4449045647103622,23324,12913,18694,23941
F,0-20,0,0.25,,0-20,0.6841985017036352,0.5892857142857143,0.4107142857142857,0.6765913757700205,0.32340862422997946,0.5766129032258065,0.6878914405010439,0.31210855949895616,659,315,299,429
F,0-20,0,0.25,,20-40,0.6704103778259541,0.5906629981361499,0.4093370018638502,0.6493418578412937,0.3506581421587063,0.5880533710347265,0.6517931294828238,0.3482068705171763,8633,4662,4612,6655
F,0-20,0,0.25,,40-60,0.646599364228123,0.5890830421035114,0.4109169578964886,0.6187445357579997,0.38125546424200035,0.6188245166252928,0.5890009654116315,0.41099903458836845,17693,10902,12346,17699
F,0-20,0,0.25,,60-80,0.6229024923860914,0.5863498268999788,0.4136501731000212,0.5906499429874572,0.40935005701254273,0.652095337873232,0.5218077865505036,0.4781922134494963,19166,13283,17564,24897
F,0-20,0,0.25,,80+,0.6100552649086821,0.5701679778864555,0.42983202211354454,0.5869968540775994,0.41300314592240056,0.6768900668938533,0.4736705070624227,0.5263294929375772,7277,5120,8086,10726
F,0-20,0,0.25,M,0-20,0.6696845587366597,0.5699208443271768,0.43007915567282323,0.6791044776119403,0.3208955223880597,0.5011600928074246,0.7362459546925566,0.26375404530744334,455,215,163,216
F,0-20,0,0.25,M,20-40,0.6590304491606712,0.590228407200121,0.409771592799879,0.6309083959740094,0.36909160402599056,0.5739079276364171,0.6463908105991385,0.3536091894008615,4952,2897,2709,3902
F,0-20,0,0.25,M,40-60,0.6387827102941068,0.5941160144324175,0.4058839855675826,0.6008261577845008,0.3991738422154992,0.6093714415850604,0.5854640285730484,0.41453597142695164,10327,6861,7312,10703
F,0-20,0,0.25,M,60-80,0.6180023192354034,0.6071748529583609,0.39282514704163907,0.5615997548268464,0.4384002451731535,0.6449050515080055,0.521584440227704,0.478415559772296,10995,8583,10085,15588
F,0-20,0,0.25,M,80+,0.607329597608274,0.6056,0.3944,0.5454104718810601,0.4545895281189399,0.6828278272635021,0.46112856947670444,0.5388714305232956,3375,2813,3944,6056
F,0-20,0,0.25,F,0-20,0.6989047654954004,0.6103151862464183,0.38968481375358166,0.6710526315789473,0.32894736842105265,0.6805111821086262,0.6,0.4,204,100,136,213
F,0-20,0,0.25,F,20-40,0.6866293974391495,0.5912800687285223,0.40871993127147765,0.6759089239809034,0.3240910760190966,0.6093404161133245,0.6592048710601719,0.3407951289398281,3681,1765,1903,2753
F,0-20,0,0.25,F,40-60,0.658353557239539,0.5815461346633416,0.41845386533665835,0.6457438415008329,0.3542561584991672,0.6338678988855667,0.5940322580645161,0.40596774193548385,7366,4041,5034,6996
F,0-20,0,0.25,F,60-80,0.6313065481229985,0.5545032165832737,0.4454967834167262,0.6348380079247922,0.36516199207520783,0.66450139196231,0.5221086261980831,0.47789137380191693,8171,4700,7479,9309
F,0-20,0,0.25,F,80+,0.6101594686289585,0.5299591466182478,0.47004085338175217,0.6284425833467547,0.37155741665324526,0.6693421241221155,0.48508204873197414,0.5149179512680259,3902,2307,4142,4670
F,0-20,0,0.5,,,0.6210959108522144,0.5435521183200566,0.4564478816799435,0.6337133736176035,0.3662866263823965,0.6360907535992207,0.5410064239828694,0.45899357601713064,55583,32127,47157,56156
F,0-20,0,0.5,M,,0.6131114085908084,0.5273740070536274,0.47262599294637264,0.6364696054242029,0.363530394575797,0.6310143555765894,0.5332280798841127,0.4667719201158873,32761,18712,28678,32000
F,0-20,0,0.5,F,,0.63190279495711,0.5665767561862319,0.433423243813768,0.6297982724839253,0.3702017275160747,0.6429426951638232,0.5525774194329435,0.44742258056705647,22822,13415,18479,24156
F,0-20,0,0.5,,0-20,0.6750217185278786,0.5728021978021978,0.4271978021978022,0.6981519507186859,0.30184804928131415,0.5864978902953587,0.686175580221998,0.313824419778002,680,294,311,417
F,0-20,0,0.5,,20-40,0.6632028462409885,0.5595100736664596,0.44048992633354045,0.6804061677322302,0.31959383226776983,0.5973656780062542,0.6457277464487116,0.35427225355128844,9046,4249,4963,6304
F,0-20,0,0.5,,40-60,0.6300104183062121,0.5476784822765851,0.4523215177234149,0.6425598880923238,0.35744011190767616,0.6168466036887089,0.5748341884620197,0.4251658115379802,18374,10221,13590,16455
F,0-20,0,0.5,,60-80,0.605678334395977,0.5376463107322013,0.4623536892677987,0.6164750839779346,0.3835249160220654,0.6471905652888813,0.5046927036027854,0.49530729639721466,20004,12445,19632,22829
F,0-20,0,0.5,,80+,0.5966083427720839,0.5396023814586434,0.4603976185413566,0.6032911188190692,0.3967088811809309,0.6736346141084345,0.4633828996282528,0.5366171003717473,7479,4918,8661,10151
F,0-20,0,0.5,M,0-20,0.660331587445359,0.5303430079155673,0.46965699208443273,0.7164179104477612,0.2835820895522388,0.5140664961636828,0.729483282674772,0.270516717325228,480,190,178,201
F,0-20,0,0.5,M,20-40,0.6456894878580908,0.5391014975041597,0.46089850249584025,0.6755000637023825,0.32449993629761753,0.5832106038291606,0.6350461133069829,0.36495388669301715,5302,2547,3047,3564
F,0-20,0,0.5,M,40-60,0.6182311275008008,0.525451013044685,0.474548986955315,0.6437630905282755,0.3562369094717245,0.6072230418885112,0.5641378607117365,0.4358621392882635,11065,6123,8549,9466
F,0-20,0,0.5,M,60-80,0.5997606671731347,0.5218322751528843,0.47816772484711567,0.6213096332618245,0.3786903667381755,0.6437460958147134,0.497708674304419,0.502291325695581,12164,7414,12276,13397
F,0-20,0,0.5,M,80+,0.5963589366515837,0.5372,0.4628,0.6060116354234001,0.39398836457659986,0.6878361075544174,0.44760085939365,0.55239914060635,3750,2438,4628,5372
F,0-20,0,0.5,F,0-20,0.6818447443824461,0.6189111747851003,0.38108882521489973,0.6578947368421053,0.34210526315789475,0.675,0.6006006006006006,0.3993993993993994,200,104,133,216
F,0-20,0,0.5,F,20-40,0.6864248548384451,0.5884879725085911,0.4115120274914089,0.6874770473742197,0.3125229526257804,0.6168392615938766,0.6614840989399293,0.3385159010600707,3744,1702,1916,2740
F,0-20,0,0.5,F,40-60,0.6466361018059159,0.5809642560266002,0.4190357439733998,0.6407469097922328,0.35925309020776713,0.6303779200865879,0.5918218623481781,0.40817813765182187,7309,4098,5041,6989
F,0-20,0,0.5,F,60-80,0.6142946122487015,0.5618298784846318,0.4381701215153681,0.6091212803977935,0.3908787196022065,0.6521468574984443,0.5159252434851277,0.48407475651487236,7840,5031,7356,9432
F,0-20,0,0.5,F,80+,0.5971351183144086,0.5423286427598729,0.4576713572401271,0.6005798035110324,0.39942019648896765,0.6583551453368233,0.48041741819118783,0.5195825818088121,3729,2480,4033,4779
F,0-20,0,0.75,,,0.5960642113420173,0.5990920794091741,0.4009079205908259,0.5445559229278304,0.45544407707216966,0.6077512985929047,0.5355677154582763,0.46443228454172364,47763,39947,41419,61894
F,0-20,0,0.75,M,,0.590977422074394,0.5917630772273311,0.4082369227726688,0.5443630641307093,0.4556369358692907,0.6049022911051213,0.5307722907313747,0.46922770926862534,28020,23453,24771,35907
F,0-20,0,0.75,F,,0.6030718414664927,0.6095226926234315,0.39047730737656855,0.5448298700223528,0.45517012997764716,0.6117323038534874,0.5425242505014977,0.4574757494985024,19743,16494,16648,25987
F,0-20,0,0.75,,0-20,0.6098069025430422,0.4958791208791209,0.5041208791208791,0.6427104722792608,0.35728952772073924,0.5091678420310296,0.6304128902316214,0.36958710976837866,626,348,367,361
F,0-20,0,0.75,,20-40,0.6273720079603584,0.5507233513801367,0.44927664861986333,0.6391124482888304,0.3608875517111696,0.5639371080614378,0.6266686333800427,0.37333136661995725,8497,4798,5062,6205
F,0-20,0,0.75,,40-60,0.5996297091344973,0.5796971209851889,0.4203028790148111,0.5680713411435566,0.43192865885644344,0.5850913732867509,0.5626212247159879,0.4373787752840122,16244,12351,12628,17417
F,0-20,0,0.75,,60-80,0.5813580772300958,0.6063681966981466,0.3936318033018535,0.5160713735400166,0.48392862645998336,0.6211580217129071,0.5004781829049612,0.49952181709503884,16746,15703,16714,25747
F,0-20,0,0.75,,80+,0.5682168034624442,0.646608547735488,0.353391452264512,0.45575542469952407,0.5442445753004759,0.6432235207022368,0.45942429663359896,0.540575703366401,5650,6747,6648,12164
F,0-20,0,0.75,M,0-20,0.5849761745362896,0.44063324538258575,0.5593667546174143,0.6611940298507463,0.33880597014925373,0.42385786802030456,0.6763358778625954,0.3236641221374046,443,227,212,167
F,0-20,0,0.75,M,20-40,0.6139187364191598,0.5437906519437301,0.45620934805626984,0.6310358007389476,0.36896419926105234,0.5538437837005084,0.6215334420880914,0.37846655791190864,4953,2896,3016,3595
F,0-20,0,0.75,M,40-60,0.593062673188008,0.5771301693033584,0.4228698306966417,0.5604491505701652,0.43955084942983474,0.5791555258467023,0.5584024114544084,0.44159758854559156,9633,7555,7618,10397
F,0-20,0,0.75,M,60-80,0.5775099536535311,0.5976707046313248,0.4023292953686753,0.5176218204106651,0.482378179589335,0.6190091979990318,0.4952353027415335,0.5047646972584665,10134,9444,10329,15344
F,0-20,0,0.75,M,80+,0.5679726890756303,0.6404,0.3596,0.46170006464124114,0.5382999353587589,0.6578325629173086,0.44273981094064774,0.5572601890593523,2857,3331,3596,6404
