target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,0-20,0,0,,,0.6489393207328719,0.5820521339897907,0.41794786601020933,0.6454646589299501,0.3545353410700499,0.39789386743753874,0.7932477157436254,0.20675228425637462,106177,58320,27674,38540
F,0-20,0,0,M,,0.6434411399673858,0.5786273039005573,0.4213726960994428,0.6394678390166991,0.36053216098330093,0.4080980992328912,0.7793752542325334,0.22062474576746666,55564,31327,15729,21599
F,0-20,0,0,F,,0.6556823670220856,0.5864778785570864,0.4135221214429135,0.6521789552354199,0.34782104476458003,0.38560112896617654,0.8090571949231113,0.19094280507688866,50613,26993,11945,16941
F,0-20,0,0,,0-20,0.771992979439788,0.5363636363636364,0.4636363636363636,0.8565799842395587,0.1434200157604413,0.3933333333333333,0.9142136248948697,0.08578637510513036,1087,182,102,118
F,0-20,0,0,,20-40,0.7279814260070094,0.5801210025929127,0.4198789974070873,0.7701978021978022,0.2298021978021978,0.39095992544268404,0.8782517167059295,0.12174828329407048,17522,5228,2429,3356
F,0-20,0,0,,40-60,0.6772512924890712,0.6055895661431994,0.39441043385680064,0.6657620284573333,0.3342379715426666,0.39751205534977985,0.8225516729336814,0.17744832706631858,34344,17242,7409,11376
F,0-20,0,0,,60-80,0.6221914206971031,0.5781937944184434,0.42180620558155657,0.6047072470846816,0.3952927529153184,0.3917230364524615,0.7650477937626726,0.2349522062373274,39618,25898,12167,16678
F,0-20,0,0,,80+,0.5954096853267228,0.5574369981715558,0.4425630018284442,0.5820499657768652,0.4179500342231348,0.4178286259087117,0.7096437698847338,0.29035623011526623,13606,9770,5567,7012
F,0-20,0,0,M,0-20,0.7596952908587258,0.5087719298245614,0.49122807017543857,0.8766447368421053,0.12335526315789473,0.43609022556390975,0.9049235993208828,0.09507640067911714,533,75,56,58
F,0-20,0,0,M,20-40,0.7101120563573132,0.5623841877702286,0.4376158122297715,0.7629952111449717,0.2370047888550283,0.4008364516839093,0.8608055009823182,0.13919449901768172,8763,2722,1417,1821
