target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0.5,,,0.8229506574119048,0.7277822257806245,0.2722177742193755,0.7679700304378366,0.23202996956216343,0.47842105263157897,0.9060773480662984,0.09392265193370165,3280,991,340,909
F,,0,0.5,M,,0.8247826933451231,0.775990099009901,0.22400990099009901,0.7193773043834494,0.2806226956165506,0.47789634146341464,0.9065565307176046,0.09344346928239546,1756,685,181,627
F,,0,0.5,F,,0.8211850860562804,0.6394557823129252,0.36054421768707484,0.8327868852459016,0.16721311475409836,0.47959183673469385,0.9055258467023173,0.0944741532976827,1524,306,159,282
F,,0,0.5,,0-20,0.8682012578616353,0.8466666666666667,0.15333333333333332,0.720754716981132,0.2792452830188679,0.6318407960199005,0.8925233644859814,0.10747663551401869,191,74,23,127
F,,0,0.5,,20-40,0.8390005450169533,0.7486772486772487,0.25132275132275134,0.7775752051048314,0.22242479489516864,0.5370018975332068,0.8997890295358649,0.10021097046413502,853,244,95,283
F,,0,0.5,,40-60,0.8170850112961279,0.7019867549668874,0.2980132450331126,0.784877529286475,0.21512247071352503,0.4404432132963989,0.9160969546302051,0.0839030453697949,1474,404,135,318
F,,0,0.5,,60-80,0.7783704682779456,0.671875,0.328125,0.7411883182275931,0.2588116817724068,0.40093240093240096,0.8975609756097561,0.1024390243902439,736,257,84,172
F,,0,0.5,,80+,0.7960526315789473,0.75,0.25,0.6842105263157895,0.3157894736842105,0.42857142857142855,0.896551724137931,0.10344827586206896,26,12,3,9
F,,0,0.5,M,0-20,0.8937530742744711,0.9065420560747663,0.09345794392523364,0.695906432748538,0.30409356725146197,0.6510067114093959,0.9224806201550387,0.07751937984496124,119,52,10,97
F,,0,0.5,M,20-40,0.8338873654801324,0.7890625,0.2109375,0.7301324503311258,0.26986754966887416,0.5534246575342465,0.8909090909090909,0.10909090909090909,441,163,54,202
F,,0,0.5,M,40-60,0.8149871251845606,0.7474048442906575,0.25259515570934254,0.7310924369747899,0.2689075630252101,0.42857142857142855,0.9147196261682243,0.0852803738317757,783,288,73,216
F,,0,0.5,M,60-80,0.7789820292443352,0.7161290322580646,0.2838709677419355,0.6972318339100346,0.3027681660899654,0.3881118881118881,0.901565995525727,0.09843400447427293,403,175,44,111
F,,0,0.5,M,80+,0.6470588235294117,1.0,0.0,0.5882352941176471,0.4117647058823529,0.125,1.0,0.0,10,7,0,1
F,,0,0.5,F,0-20,0.8171697179614053,0.6976744186046512,0.3023255813953488,0.7659574468085106,0.23404255319148937,0.5769230769230769,0.8470588235294118,0.15294117647058825,72,22,13,30
F,,0,0.5,F,20-40,0.8418016160675689,0.6639344262295082,0.3360655737704918,0.8356997971602435,0.1643002028397566,0.5,0.9094922737306843,0.09050772626931568,412,81,41,81
F,,0,0.5,F,40-60,0.8247045667482698,0.6219512195121951,0.3780487804878049,0.8562577447335812,0.14374225526641884,0.46788990825688076,0.9176626826029216,0.08233731739707835,691,116,62,102
F,,0,0.5,F,60-80,0.7783848264344506,0.6039603960396039,0.39603960396039606,0.8024096385542169,0.19759036144578312,0.42657342657342656,0.8927613941018767,0.10723860589812333,333,82,40,61
F,,0,0.5,F,80+,0.8311688311688312,0.7272727272727273,0.2727272727272727,0.7619047619047619,0.23809523809523808,0.6153846153846154,0.8421052631578947,0.15789473684210525,16,5,3,8
F,,1,0.5,,,0.8055019056218987,0.7590072057646117,0.2409927942353883,0.7152891594474362,0.2847108405525638,0.43807763401109057,0.9103098927294399,0.08969010727056019,3055,1216,301,948
F,,1,0.5,M,,0.8087676086330469,0.8254950495049505,0.1745049504950495,0.6530110610405572,0.3469889389594428,0.44055482166446497,0.9187319884726225,0.08126801152737752,1594,847,141,667
F,,1,0.5,F,,0.8008202916868022,0.63718820861678,0.36281179138321995,0.7983606557377049,0.20163934426229507,0.4323076923076923,0.9012954966070327,0.09870450339296731,1461,369,160,281
F,,1,0.5,,0-20,0.8517735849056604,0.8266666666666667,0.17333333333333334,0.6830188679245283,0.3169811320754717,0.5961538461538461,0.8743961352657005,0.12560386473429952,181,84,26,124
F,,1,0.5,,20-40,0.8241476272469891,0.7777777777777778,0.2222222222222222,0.7301731996353692,0.2698268003646308,0.49830508474576274,0.9050847457627119,0.09491525423728814,801,296,84,294
F,,1,0.5,,40-60,0.792199441893706,0.7328918322295805,0.2671081677704194,0.7215122470713525,0.2784877529286475,0.3883040935672515,0.9180216802168022,0.08197831978319783,1355,523,121,332
F,,1,0.5,,60-80,0.7719269259818731,0.7421875,0.2578125,0.6988922457200403,0.3011077542799597,0.3885480572597137,0.9131578947368421,0.0868421052631579,694,299,66,190
F,,1,0.5,,80+,0.7850877192982456,0.6666666666666666,0.3333333333333333,0.631578947368421,0.3684210526315789,0.36363636363636365,0.8571428571428571,0.14285714285714285,24,14,4,8
F,,1,0.5,M,0-20,0.8352735421107286,0.8317757009345794,0.16822429906542055,0.6432748538011696,0.3567251461988304,0.5933333333333334,0.859375,0.140625,110,61,18,89
F,,1,0.5,M,20-40,0.820428911423841,0.83203125,0.16796875,0.6506622516556292,0.34933774834437087,0.5023584905660378,0.9013761467889908,0.09862385321100918,393,211,43,213
F,,1,0.5,M,40-60,0.8057243658709158,0.8304498269896193,0.1695501730103806,0.6638655462184874,0.33613445378151263,0.4,0.9355263157894737,0.06447368421052632,711,360,49,240
F,,1,0.5,M,60-80,0.7767496372362988,0.8,0.2,0.6418685121107266,0.35813148788927335,0.37462235649546827,0.9228855721393034,0.07711442786069651,371,207,31,124
F,,1,0.5,M,80+,0.8823529411764706,1.0,0.0,0.5294117647058824,0.47058823529411764,0.1111111111111111,1.0,0.0,9,8,0,1
F,,1,0.5,F,0-20,0.8797624938149431,0.813953488372093,0.18604651162790697,0.7553191489361702,0.24468085106382978,0.603448275862069,0.8987341772151899,0.10126582278481013,71,23,8,35
F,,1,0.5,F,20-40,0.8207029561400593,0.6639344262295082,0.3360655737704918,0.8275862068965517,0.1724137931034483,0.4879518072289157,0.9086859688195991,0.09131403118040089,408,85,41,81
F,,1,0.5,F,40-60,0.777352132257382,0.5609756097560976,0.43902439024390244,0.7980173482032218,0.20198265179677818,0.3607843137254902,0.8994413407821229,0.1005586592178771,644,163,72,92
F,,1,0.5,F,60-80,0.7721817964929023,0.6534653465346535,0.3465346534653465,0.7783132530120482,0.2216867469879518,0.4177215189873418,0.9022346368715084,0.09776536312849161,323,92,35,66
F,,1,0.5,F,80+,0.8484848484848485,0.6363636363636364,0.36363636363636365,0.7142857142857143,0.2857142857142857,0.5384615384615384,0.7894736842105263,0.21052631578947367,15,6,4,7
F,,2,0.5,,,0.8291745079510109,0.7830264211369096,0.21697357886309046,0.723952236010302,0.27604776398969794,0.4534075104311544,0.9194171870353851,0.08058281296461493,3092,1179,271,978
F,,2,0.5,M,,0.8307474720229091,0.8267326732673267,0.17326732673267325,0.674313805817288,0.325686194182712,0.45659603554340394,0.921612541993281,0.07838745800671892,1646,795,140,668
F,,2,0.5,F,,0.8246372501641822,0.7029478458049887,0.29705215419501135,0.7901639344262295,0.2098360655737705,0.44668587896253603,0.9169308814204186,0.08306911857958148,1446,384,131,310
F,,2,0.5,,0-20,0.868377358490566,0.9066666666666666,0.09333333333333334,0.7169811320754716,0.2830188679245283,0.6445497630331753,0.9313725490196079,0.06862745098039216,190,75,14,136
F,,2,0.5,,20-40,0.8437513565134349,0.7936507936507936,0.20634920634920634,0.7146763901549681,0.2853236098450319,0.4893964110929853,0.9095127610208816,0.09048723897911833,784,313,78,300
F,,2,0.5,,40-60,0.8168311128978034,0.7571743929359823,0.24282560706401765,0.7422790202342918,0.2577209797657082,0.4147521160822249,0.9268617021276596,0.07313829787234043,1394,484,110,343
F,,2,0.5,,60-80,0.7926265105740181,0.7421875,0.2578125,0.6988922457200403,0.3011077542799597,0.3885480572597137,0.9131578947368421,0.0868421052631579,694,299,66,190
F,,2,0.5,,80+,0.8574561403508771,0.75,0.25,0.7894736842105263,0.21052631578947367,0.5294117647058824,0.9090909090909091,0.09090909090909091,30,8,3,9
F,,2,0.5,M,0-20,0.8733125649013499,0.9345794392523364,0.06542056074766354,0.695906432748538,0.30409356725146197,0.6578947368421053,0.9444444444444444,0.05555555555555555,119,52,7,100
F,,2,0.5,M,20-40,0.845509105960265,0.828125,0.171875,0.6655629139072847,0.3344370860927152,0.5120772946859904,0.9013452914798207,0.09865470852017937,402,202,44,212
F,,2,0.5,M,40-60,0.8227346301842536,0.8166089965397924,0.18339100346020762,0.6816059757236228,0.3183940242763772,0.4090121317157712,0.9323116219667944,0.06768837803320563,730,341,53,236
F,,2,0.5,M,60-80,0.781515794173457,0.7741935483870968,0.22580645161290322,0.6626297577854672,0.3373702422145329,0.38095238095238093,0.916267942583732,0.08373205741626795,383,195,35,120
F,,2,0.5,M,80+,0.7058823529411764,0.0,1.0,0.7058823529411765,0.29411764705882354,0.0,0.9230769230769231,0.07692307692307693,12,5,1,0
F,,2,0.5,F,0-20,0.8550222662048491,0.8372093023255814,0.16279069767441862,0.7553191489361702,0.24468085106382978,0.6101694915254238,0.9102564102564102,0.08974358974358974,71,23,7,36
F,,2,0.5,F,20-40,0.8316430020283976,0.7213114754098361,0.2786885245901639,0.7748478701825557,0.22515212981744423,0.44221105527638194,0.9182692307692307,0.08173076923076923,382,111,34,88
F,,2,0.5,F,40-60,0.8104542569589265,0.6524390243902439,0.3475609756097561,0.8228004956629492,0.1771995043370508,0.428,0.9209431345353676,0.07905686546463246,664,143,57,107
F,,2,0.5,F,60-80,0.8086842419181677,0.693069306930693,0.3069306930693069,0.7493975903614458,0.25060240963855424,0.40229885057471265,0.9093567251461988,0.09064327485380116,311,104,31,70
F,,2,0.5,F,80+,0.8744588744588744,0.8181818181818182,0.18181818181818182,0.8571428571428571,0.14285714285714285,0.75,0.9,0.1,18,3,2,9
F,,3,0.5,,,0.8378373970541454,0.8054443554843875,0.1945556445156125,0.7330835869819714,0.26691641301802854,0.46877912395153776,0.9279786603438056,0.07202133965619442,3131,1140,243,1006
