target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0.05,,,0.6419585360806989,0.6780687999690265,0.32193120003097353,0.5335697103052,0.4664302896948001,0.6313104915019014,0.5845667678395223,0.4154332321604776,46801,40912,33260,70054
F,,0,0.05,M,,0.6401311206524051,0.6531856686113583,0.3468143313886417,0.5567190565927768,0.4432809434072232,0.6346415589822421,0.576579476861167,0.423420523138833,28656,22817,21044,39634
F,,0,0.05,F,,0.6456735986976165,0.7134815648747538,0.2865184351252463,0.5006760672203979,0.4993239327796021,0.6270225703390704,0.5976284584980237,0.4023715415019763,18144,18095,12216,30420
F,,0,0.05,,0-20,0.6963697160108011,0.6832350463352991,0.3167649536647009,0.6316440049443758,0.3683559950556242,0.5764036958066808,0.7310443490701002,0.26895565092989987,1022,596,376,811
F,,0,0.05,,20-40,0.6934477620568116,0.6664950223137659,0.3335049776862341,0.6231905465288036,0.37680945347119643,0.6035125893689773,0.6846802986043492,0.31531970139565074,8438,5102,3886,7766
F,,0,0.05,,40-60,0.6497993237937076,0.6637010676156584,0.33629893238434166,0.5613560239537165,0.43864397604628347,0.6170206480961805,0.6105387106270238,0.38946128937297614,16592,12965,10584,20888
F,,0,0.05,,60-80,0.6210151056189501,0.6757130262813029,0.32428697371869714,0.5027577561892823,0.49724224381071763,0.6412291412291412,0.5410245169122855,0.4589754830877146,16043,15867,13610,28359
F,,0,0.05,,80+,0.5968395851675217,0.7179592555627312,0.28204074443726884,0.42449936857297493,0.5755006314270251,0.6571551399860283,0.49484752891692957,0.5051524710830705,4706,6380,4804,12229
F,,0,0.05,M,0-20,0.6783911932052445,0.6298507462686567,0.3701492537313433,0.6666666666666666,0.3333333333333333,0.5382653061224489,0.7448559670781894,0.2551440329218107,724,362,248,422
F,,0,0.05,M,20-40,0.6901483101174029,0.6292912921762193,0.37070870782378074,0.6534255185417976,0.3465744814582024,0.6077120091064314,0.6738397718434016,0.3261602281565984,5198,2757,2516,4271
F,,0,0.05,M,40-60,0.6461247255162611,0.6388903538842888,0.36110964611571117,0.5810848712626914,0.4189151287373086,0.618629353487897,0.6020574218295943,0.3979425781704057,10359,7468,6847,12114
F,,0,0.05,M,60-80,0.6184614612108372,0.6568549980244962,0.34314500197550374,0.5172341758930437,0.48276582410695634,0.6426611001584909,0.5327882080800473,0.46721179191995266,9904,9244,8685,16625
F,,0,0.05,M,80+,0.5915288548458595,0.6929608938547486,0.3070391061452514,0.45281290086127907,0.5471870991387209,0.6750108837614279,0.47346234910902474,0.5265376508909753,2471,2986,2748,6202
F,,0,0.05,F,0-20,0.7109844243102921,0.7524177949709865,0.24758220502901354,0.5601503759398496,0.4398496240601504,0.6243980738362761,0.6995305164319249,0.3004694835680751,298,234,128,389
F,,0,0.05,F,20-40,0.7003600803352406,0.7183967112024666,0.2816032887975334,0.5800501432664756,0.41994985673352436,0.598458904109589,0.702755478411803,0.29724452158819703,3239,2345,1370,3495
F,,0,0.05,F,40-60,0.6561798507339117,0.7013028534889297,0.29869714651107027,0.5313725490196078,0.46862745098039216,0.6148132576553851,0.6251755265797392,0.37482447342026076,6233,5497,3737,8774
F,,0,0.05,F,60-80,0.625470596116903,0.704364007443424,0.295635992556576,0.48103745494436606,0.5189625450556339,0.6392112000871603,0.5548626174981923,0.4451373825018077,6139,6623,4925,11734
F,,0,0.05,F,80+,0.6058036791718151,0.7456389954224917,0.2543610045775084,0.3970509859655356,0.6029490140344643,0.6397410041396879,0.5208576089489629,0.47914239105103706,2235,3394,2056,6027
F,,0,0.1,,,0.6480649202389257,0.6766265946531932,0.3233734053468068,0.5443320830435625,0.4556679169564375,0.63623456172126,0.5883258989082485,0.4116741010917515,47745,39968,33409,69905
F,,0,0.1,M,,0.645937030971851,0.6518672335937242,0.3481327664062758,0.5661608998892623,0.4338391001107377,0.6391532681586815,0.5797556996777146,0.42024430032228544,29142,22331,21124,39554
F,,0,0.1,F,,0.6522176632181829,0.7118632141851956,0.2881367858148044,0.5133143850547752,0.4866856149452248,0.6324706176544136,0.6022598504225078,0.39774014957749215,18602,17637,12285,30351
F,,0,0.1,,0-20,0.6892205214504474,0.6478517270429655,0.35214827295703455,0.6545117428924598,0.34548825710754016,0.579066265060241,0.7169939065673663,0.2830060934326337,1059,559,418,769
F,,0,0.1,,20-40,0.6972988801029968,0.6501029866117405,0.3498970133882595,0.6463072378138848,0.35369276218611523,0.6126658039469427,0.682179607109448,0.3178203928905519,8751,4789,4077,7575
F,,0,0.1,,40-60,0.6579585770905566,0.6569331469242501,0.34306685307574986,0.5780356599113577,0.4219643400886423,0.623736688086403,0.6127609210243168,0.3872390789756832,17085,12472,10797,20675
F,,0,0.1,,60-80,0.6253982754533295,0.6795015368486264,0.32049846315137365,0.5089627076151677,0.49103729238483235,0.6453934415099464,0.5469823521487269,0.4530176478512731,16241,15669,13451,28518
F,,0,0.1,,80+,0.6010973180765857,0.726061175365467,0.27393882463453295,0.41574959408262674,0.5842504059173733,0.6562831670558268,0.49692722371967657,0.5030727762803234,4609,6477,4666,12367
F,,0,0.1,M,0-20,0.664617520134136,0.5776119402985075,0.4223880597014925,0.6786372007366482,0.32136279926335176,0.5258152173913043,0.7225490196078431,0.2774509803921569,737,349,283,387
F,,0,0.1,M,20-40,0.6928128117152278,0.611463091203772,0.3885369087962281,0.6754242614707731,0.3245757385292269,0.6164587046939988,0.6707865168539325,0.3292134831460674,5373,2582,2637,4150
F,,0,0.1,M,40-60,0.6545811069499851,0.633458150941406,0.36654184905859394,0.5956694900992876,0.4043305099007124,0.6249544721369478,0.6044168706243952,0.39558312937560475,10619,7208,6950,12011
F,,0,0.1,M,60-80,0.6236426603412031,0.6621888581588306,0.3378111418411695,0.5238144975976603,0.47618550240233964,0.6476543782363398,0.5398277717976319,0.46017222820236814,10030,9118,8550,16760
F,,0,0.1,M,80+,0.5917046835441742,0.6978770949720671,0.302122905027933,0.43668682426241523,0.5633131757375848,0.6701716738197425,0.4684489876154905,0.5315510123845095,2383,3074,2704,6246
F,,0,0.1,F,0-20,0.7133004173877634,0.7388781431334622,0.2611218568665377,0.6052631578947368,0.39473684210526316,0.6452702702702703,0.7045951859956237,0.29540481400437635,322,210,135,382
F,,0,0.1,F,20-40,0.7058130961460876,0.7040082219938335,0.2959917780061665,0.6047636103151862,0.3952363896848137,0.6081321022727273,0.7010587502594976,0.2989412497405024,3377,2207,1440,3425
F,,0,0.1,F,40-60,0.6638604881923855,0.6925105906802014,0.30748940931979857,0.551236146632566,0.4487638533674339,0.6220562894887995,0.6269756617860952,0.3730243382139048,6466,5264,3847,8664
F,,0,0.1,F,60-80,0.6287867336699376,0.7058046701482682,0.2941953298517318,0.4866792038865382,0.5133207961134618,0.6421978262056912,0.5589452843772498,0.44105471562275017,6211,6551,4901,11758
F,,0,0.1,F,80+,0.6137268392391982,0.7572683409625139,0.24273165903748609,0.3954521229348019,0.6045478770651981,0.6426921461570768,0.5315186246418339,0.4684813753581662,2226,3403,1962,6121
F,,0,0.25,,,0.645704148981673,0.6858605803666492,0.31413941963335074,0.5298302418113621,0.47016975818863793,0.6321109019705796,0.588802452868437,0.4111975471315629,46473,41240,32455,70859
F,,0,0.25,M,,0.6444350700648682,0.6603216981443027,0.3396783018556973,0.5540768946826492,0.44592310531735085,0.6357822913360838,0.5804888970303882,0.41951110296961186,28520,22953,20611,40067
F,,0,0.25,F,,0.6486954676990265,0.7222065859836758,0.27779341401632424,0.4953779077789122,0.5046220922210878,0.6273966462234357,0.6024969794603302,0.39750302053966974,17952,18287,11844,30792
F,,0,0.25,,0-20,0.7074169802027112,0.6537489469250211,0.34625105307497894,0.6761433868974042,0.3238566131025958,0.5969230769230769,0.7269102990033223,0.27308970099667773,1094,524,411,776
F,,0,0.25,,20-40,0.6919498386492375,0.6585135599038792,0.34148644009612084,0.6319793205317578,0.36802067946824224,0.6062737041719343,0.6825941289087428,0.3174058710912572,8557,4983,3979,7673
F,,0,0.25,,40-60,0.653828686681567,0.6687531774275547,0.33124682257244537,0.559326047975099,0.44067395202490106,0.6177212960788918,0.6132729903179137,0.3867270096820863,16532,13025,10425,21047
F,,0,0.25,,60-80,0.6243776335966708,0.6883652219495342,0.3116347780504658,0.49182074584769664,0.5081792541523034,0.6404912871901742,0.5454419073436902,0.45455809265630975,15694,16216,13079,28890
F,,0,0.25,,80+,0.6003418336018866,0.7322256795632008,0.26777432043679916,0.4145769438931986,0.5854230561068013,0.6577365256829448,0.5019111062575079,0.4980888937424921,4596,6490,4561,12472
F,,0,0.25,M,0-20,0.6885036145240648,0.5865671641791045,0.4134328358208955,0.7081031307550645,0.2918968692449355,0.5535211267605634,0.7351816443594646,0.26481835564053535,769,317,277,393
F,,0,0.25,M,20-40,0.6860576617200943,0.6172093708560483,0.3827906291439517,0.6593337523570082,0.3406662476429918,0.6071894477460501,0.6687492031110545,0.33125079688894554,5245,2710,2598,4189
F,,0,0.25,M,40-60,0.650061208176741,0.6436369389800116,0.3563630610199884,0.5794020306276996,0.42059796937230043,0.6194294995431936,0.6045300245815287,0.3954699754184713,10329,7498,6757,12204
F,,0,0.25,M,60-80,0.6248820753841008,0.6708020545239036,0.32919794547609643,0.5107583037392939,0.48924169626070607,0.6444242010172322,0.5399734982332155,0.46002650176678445,9780,9368,8332,16978
F,,0,0.25,M,80+,0.5937038788783409,0.704245810055866,0.2957541899441341,0.4392523364485981,0.5607476635514018,0.6731816725408523,0.47521808088818396,0.524781919111816,2397,3060,2647,6303
F,,0,0.25,F,0-20,0.7227534503570339,0.7408123791102514,0.25918762088974856,0.6109022556390977,0.3890977443609023,0.6491525423728813,0.7080610021786492,0.29193899782135074,325,207,134,383
F,,0,0.25,F,20-40,0.7027159156833354,0.7161356628982528,0.2838643371017472,0.5929441260744985,0.4070558739255014,0.6051763071043946,0.7056692242114238,0.2943307757885763,3311,2273,1381,3484
F,,0,0.25,F,40-60,0.6601925480342856,0.7068180001598593,0.29318199984014065,0.5288150042625746,0.4711849957374254,0.6153792623521225,0.628406443116199,0.371593556883801,6203,5527,3668,8843
