target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0.05,,,0.7765848361198909,0.7542033626901521,0.24579663730984788,0.6766565207211426,0.3233434792788574,0.40551011622901423,0.9039724741945574,0.0960275258054426,2890,1381,307,942
F,,0,0.05,M,,0.7769252882887633,0.7314356435643564,0.2685643564356436,0.6894715280622695,0.3105284719377304,0.4381022979985174,0.8857894736842106,0.11421052631578947,1683,758,217,591
F,,0,0.05,F,,0.782114667360569,0.7959183673469388,0.20408163265306123,0.6595628415300546,0.3404371584699454,0.3603696098562628,0.930609097918273,0.06939090208172706,1207,623,90,351
F,,0,0.05,,0-20,0.8105157232704403,0.9066666666666666,0.09333333333333334,0.5358490566037736,0.4641509433962264,0.525096525096525,0.9102564102564102,0.08974358974358974,142,123,14,136
F,,0,0.05,,20-40,0.7979337587359464,0.7936507936507936,0.20634920634920634,0.6745670009115771,0.325432999088423,0.45662100456621,0.9046454767726161,0.09535452322738386,740,357,78,300
F,,0,0.05,,40-60,0.7614283665634616,0.7086092715231788,0.2913907284768212,0.7060702875399361,0.2939297124600639,0.36769759450171824,0.9094650205761317,0.09053497942386832,1326,552,132,321
F,,0,0.05,,60-80,0.7367077353977844,0.6875,0.3125,0.6596173212487412,0.3403826787512588,0.3424124513618677,0.891156462585034,0.10884353741496598,655,338,80,176
F,,0,0.05,,80+,0.7390350877192983,0.75,0.25,0.7105263157894737,0.2894736842105263,0.45,0.9,0.1,27,11,3,9
F,,0,0.05,M,0-20,0.8280045909165438,0.9158878504672897,0.08411214953271028,0.5321637426900585,0.4678362573099415,0.550561797752809,0.91,0.09,91,80,9,98
F,,0,0.05,M,20-40,0.7884481063741722,0.75,0.25,0.6920529801324503,0.3079470198675497,0.5079365079365079,0.8672199170124482,0.13278008298755187,418,186,64,192
F,,0,0.05,M,40-60,0.7574397694487254,0.6851211072664359,0.314878892733564,0.7096171802054155,0.2903828197945845,0.3889980353634578,0.8930669800235017,0.10693301997649823,760,311,91,198
F,,0,0.05,M,60-80,0.7492465676972876,0.6645161290322581,0.33548387096774196,0.6920415224913494,0.3079584775086505,0.3665480427046263,0.8849557522123894,0.11504424778761062,400,178,52,103
F,,0,0.05,M,80+,0.11764705882352944,0.0,1.0,0.8235294117647058,0.17647058823529413,0.0,0.9333333333333333,0.06666666666666667,14,3,1,0
F,,0,0.05,F,0-20,0.7662048490846116,0.8837209302325582,0.11627906976744186,0.5425531914893617,0.4574468085106383,0.4691358024691358,0.9107142857142857,0.08928571428571429,51,43,5,38
F,,0,0.05,F,20-40,0.8313104778372626,0.8852459016393442,0.11475409836065574,0.6531440162271805,0.34685598377281945,0.3870967741935484,0.9583333333333334,0.041666666666666664,322,171,14,108
F,,0,0.05,F,40-60,0.7720932692598301,0.75,0.25,0.701363073110285,0.298636926889715,0.33791208791208793,0.9324546952224053,0.06754530477759473,566,241,41,123
F,,0,0.05,F,60-80,0.7215078134319456,0.7227722772277227,0.27722772277227725,0.6144578313253012,0.3855421686746988,0.3133047210300429,0.901060070671378,0.0989399293286219,255,160,28,73
F,,0,0.05,F,80+,0.7705627705627706,0.8181818181818182,0.18181818181818182,0.6190476190476191,0.38095238095238093,0.5294117647058824,0.8666666666666667,0.13333333333333333,13,8,2,9
F,,0,0.1,,,0.7768535596447188,0.710968775020016,0.289031224979984,0.7162257082650433,0.28377429173495666,0.4228571428571429,0.8944444444444445,0.10555555555555556,3059,1212,361,888
