target_age,rate,metric,g1,g2,t,p,p_bh,m1,cil_1,ciu_1,m2,cil_2,ciu_2
0-20,0.0,auroc,All,0-20,-10.729864412790029,5.004648085856003e-06,3.503253660099202e-05,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8912704402515723,0.8855456474840661,0.8969952330190786
0-20,0.0,auroc,All,20-40,-1.476450256107874,0.178067433846625,0.2876473931368558,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8554007321555179,0.8500276628219298,0.8607738014891061
0-20,0.0,auroc,All,40-60,-0.579618254126232,0.5781253323048884,0.6390029948405793,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8517263915630503,0.8477799433022769,0.8556728398238237
0-20,0.0,auroc,All,60-80,11.13458857910408,3.7845063009179227e-06,3.503253660099202e-05,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8081315300855992,0.8025983478740396,0.8136647122971589
0-20,0.0,auroc,All,80+,-0.7174133746524616,0.4935314514817899,0.6096564988892699,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8653508771929825,0.8279276903532893,0.9027740640326758
0-20,0.05,auroc,All,0-20,-7.809978542177694,5.189634206279147e-05,0.0002724557958296552,0.8592110682224074,0.8569954105934825,0.8614267258513324,0.8976452830188679,0.889307628057802,0.9059829379799339
0-20,0.05,auroc,All,20-40,-3.0138897842669645,0.016714241943525245,0.035099908081403015,0.8592110682224074,0.8569954105934825,0.8614267258513324,0.8661501063506533,0.8627765036639595,0.869523709037347
0-20,0.05,auroc,All,40-60,0.9700058792101466,0.36045247752655174,0.5046334685371724,0.8592110682224074,0.8569954105934825,0.8614267258513324,0.8573051035928975,0.8546677101865787,0.8599424969992162
0-20,0.05,auroc,All,60-80,15.99006890341606,2.3454911650193872e-07,4.925531446540713e-06,0.8592110682224074,0.8569954105934825,0.8614267258513324,0.822838777693857,0.819523367037173,0.8261541883505411
0-20,0.05,auroc,All,80+,-1.5649457873242936,0.15622663278759427,0.27339660737828997,0.8592110682224074,0.8569954105934825,0.8614267258513324,0.8789473684210527,0.8569501595102076,0.9009445773318978
0-20,0.1,auroc,All,0-20,-5.895706367836629,0.00036350070626540944,0.0015267029663147197,0.8554543939529988,0.846441442481631,0.8644673454243667,0.8950943396226416,0.8874988303392454,0.9026898489060379
0-20,0.1,auroc,All,20-40,-0.7483037511742967,0.47569809291451604,0.6096564988892699,0.8554543939529988,0.846441442481631,0.8644673454243667,0.8608029112586998,0.8520985562703765,0.8695072662470231
0-20,0.1,auroc,All,40-60,0.3604321222546925,0.7278551127412279,0.7558216765584507,0.8554543939529988,0.846441442481631,0.8644673454243667,0.8527424553385664,0.8431119550788789,0.8623729555982539
0-20,0.1,auroc,All,60-80,3.621924376384115,0.006763703586818028,0.01578197503590873,0.8554543939529988,0.846441442481631,0.8644673454243667,0.8246317975830817,0.8127437338594339,0.8365198613067295
