target_sex,rate,metric,g1,g2,t,p,p_bh,m1,cil_1,ciu_1,m2,cil_2,ciu_2
F,0.0,auroc,All,M,2.8064432463461455,0.02296860128809029,0.16032034157635014,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8426053374489436,0.8397113113021245,0.8454993635957627
F,0.0,auroc,All,F,-2.622383695721144,0.03053720791930479,0.16032034157635014,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8596723789698029,0.8542562463940342,0.8650885115455715
F,0.05,auroc,All,M,0.5593432334267919,0.5912382100464726,0.9618357814656686,0.8488356782358689,0.8409917454588254,0.8566796110129125,0.8450803821676718,0.8363057368327281,0.8538550275026154
F,0.05,auroc,All,F,-0.3945136573274222,0.7035105568081852,0.9618357814656686,0.8488356782358689,0.8409917454588254,0.8566796110129125,0.8515019268180861,0.8426227836977719,0.8603810699384004
F,0.1,auroc,All,M,0.5447557526471445,0.6007730684774893,0.9618357814656686,0.8527706829476692,0.8403718994891004,0.865169466406238,0.8471978291643175,0.834240734802069,0.8601549235265661
F,0.1,auroc,All,F,-0.5707415801921851,0.5838461713576343,0.9618357814656686,0.8527706829476692,0.8403718994891004,0.865169466406238,0.8587287957077183,0.8452685787121504,0.8721890127032862
F,0.25,auroc,All,M,1.00540308319609,0.34414058363233,0.9033690320348663,0.8423437040430752,0.8395890511059058,0.8450983569802447,0.840343593966115,0.8382048732357202,0.8424823146965098
F,0.25,auroc,All,F,0.04936870311770962,0.9618357814656686,0.9618357814656686,0.8423437040430752,0.8395890511059058,0.8450983569802447,0.8421399452312801,0.8354495231301443,0.8488303673324159
F,0.5,auroc,All,M,0.1269641861399583,0.9021019525326035,0.9618357814656686,0.8365781363090941,0.8268116137868196,0.8463446588313686,0.8356687630049361,0.8277776181664543,0.8435599078434178
F,0.5,auroc,All,F,-0.12874613994750325,0.9007363946413107,0.9618357814656686,0.8365781363090941,0.8268116137868196,0.8463446588313686,0.8378362638315799,0.8237619147911233,0.8519106128720366
F,0.75,auroc,All,M,-0.3547776152643243,0.7319270788315715,0.9618357814656686,0.8452979756785994,0.8320042639427747,0.8585916874144242,0.8488233701493868,0.8375659878103117,0.8600807524884619
