target_age,dem_age,metric,r1,r2,t,p,m1,cil_1,ciu_1,m2,cil_2,ciu_2
0-20,All,auroc,0.0,0.05,-7.1712838534981245,0.002001990742476444,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8592110682224074,0.8569954105934825,0.8614267258513324
0-20,All,auroc,0.0,0.1,-1.338807231863588,0.25165614388552554,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8554543939529988,0.846441442481631,0.8644673454243667
0-20,All,auroc,0.0,0.25,-1.8078613336720986,0.14490719004378158,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8572830073939741,0.8500335436554697,0.8645324711324786
0-20,All,auroc,0.0,0.5,-4.8524702258073775,0.008324518605351685,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8563543881230012,0.8539078968849939,0.8588008793610086
0-20,All,auroc,0.0,0.75,-1.700821161021465,0.16419686322858174,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8591585982436147,0.8499349616161488,0.8683822348710807
0-20,All,auroc,0.0,1.0,3.0079092749875773,0.03963186218718865,0.8499662291294052,0.8463932682785268,0.8535391899802837,0.8374768182609774,0.8287520977533605,0.8462015387685944
0-20,All,auroc,0.05,0.1,0.8068475589016576,0.4649939355484707,0.8592110682224074,0.8569954105934825,0.8614267258513324,0.8554543939529988,0.846441442481631,0.8644673454243667
0-20,All,auroc,0.05,0.25,0.5273747281927662,0.6258298459604791,0.8592110682224074,0.8569954105934825,0.8614267258513324,0.8572830073939741,0.8500335436554697,0.8645324711324786
0-20,All,auroc,0.05,0.5,1.8379677200969253,0.13992788096462594,0.8592110682224074,0.8569954105934825,0.8614267258513324,0.8563543881230012,0.8539078968849939,0.8588008793610086
0-20,All,auroc,0.05,0.75,0.011346580916851196,0.9914902925568994,0.8592110682224074,0.8569954105934825,0.8614267258513324,0.8591585982436147,0.8499349616161488,0.8683822348710807
0-20,All,auroc,0.05,1.0,4.58735274312945,0.01012704233735993,0.8592110682224074,0.8569954105934825,0.8614267258513324,0.8374768182609774,0.8287520977533605,0.8462015387685944
0-20,All,auroc,0.1,0.25,-0.3992546473081615,0.7101041558497319,0.8554543939529988,0.846441442481631,0.8644673454243667,0.8572830073939741,0.8500335436554697,0.8645324711324786
0-20,All,auroc,0.1,0.5,-0.18384079722847219,0.8630817019046002,0.8554543939529988,0.846441442481631,0.8644673454243667,0.8563543881230012,0.8539078968849939,0.8588008793610086
0-20,All,auroc,0.1,0.75,-0.4982956534798691,0.644429005251979,0.8554543939529988,0.846441442481631,0.8644673454243667,0.8591585982436147,0.8499349616161488,0.8683822348710807
0-20,All,auroc,0.1,1.0,2.397468401552467,0.07456081024276841,0.8554543939529988,0.846441442481631,0.8644673454243667,0.8374768182609774,0.8287520977533605,0.8462015387685944
0-20,All,auroc,0.25,0.5,0.21735645614000226,0.8385675008191453,0.8572830073939741,0.8500335436554697,0.8645324711324786,0.8563543881230012,0.8539078968849939,0.8588008793610086
0-20,All,auroc,0.25,0.75,-0.2793045111407,0.7938578308266006,0.8572830073939741,0.8500335436554697,0.8645324711324786,0.8591585982436147,0.8499349616161488,0.8683822348710807
0-20,All,auroc,0.25,1.0,3.112330147895726,0.03579108953492513,0.8572830073939741,0.8500335436554697,0.8645324711324786,0.8374768182609774,0.8287520977533605,0.8462015387685944
0-20,All,auroc,0.5,0.75,-0.46633346552425786,0.665240785226305,0.8563543881230012,0.8539078968849939,0.8588008793610086,0.8591585982436147,0.8499349616161488,0.8683822348710807
0-20,All,auroc,0.5,1.0,4.9662420429679015,0.007671959310244314,0.8563543881230012,0.8539078968849939,0.8588008793610086,0.8374768182609774,0.8287520977533605,0.8462015387685944
0-20,All,auroc,0.75,1.0,2.6098115531215336,0.05943175319881738,0.8591585982436147,0.8499349616161488,0.8683822348710807,0.8374768182609774,0.8287520977533605,0.8462015387685944
0-20,0-20,auroc,0.0,0.05,-2.2265484873618786,0.08995512114538948,0.8912704402515723,0.8855456474840661,0.8969952330190786,0.8976452830188679,0.889307628057802,0.9059829379799339
0-20,0-20,auroc,0.0,0.1,-1.0252102739246916,0.36321352407380986,0.8912704402515723,0.8855456474840661,0.8969952330190786,0.8950943396226416,0.8874988303392454,0.9026898489060379
0-20,0-20,auroc,0.0,0.25,0.013890567159355799,0.9895824933835163,0.8912704402515723,0.8855456474840661,0.8969952330190786,0.8911849056603774,0.8815674789669795,0.9008023323537754
0-20,0-20,auroc,0.0,0.5,1.3213700532198465,0.25689113587783846,0.8912704402515723,0.8855456474840661,0.8969952330190786,0.8829132075471697,0.8735738597488345,0.892252555345505
0-20,0-20,auroc,0.0,0.75,2.3916922244524317,0.07502975609271,0.8912704402515723,0.8855456474840661,0.8969952330190786,0.8729610062893082,0.8546936461124176,0.8912283664661987
0-20,0-20,auroc,0.0,1.0,5.89366973244134,0.004145100467756642,0.8912704402515723,0.8855456474840661,0.8969952330190786,0.7897207547169811,0.7625768858892229,0.8168646235447393
0-20,0-20,auroc,0.05,0.1,0.4188518071474547,0.6968376952181742,0.8976452830188679,0.889307628057802,0.9059829379799339,0.8950943396226416,0.8874988303392454,0.9026898489060379
0-20,0-20,auroc,0.05,0.25,0.8346256374851331,0.4508756247575501,0.8976452830188679,0.889307628057802,0.9059829379799339,0.8911849056603774,0.8815674789669795,0.9008023323537754
0-20,0-20,auroc,0.05,0.5,1.8546802205896815,0.13724331469822496,0.8976452830188679,0.889307628057802,0.9059829379799339,0.8829132075471697,0.8735738597488345,0.892252555345505
0-20,0-20,auroc,0.05,0.75,4.257967533775424,0.013074755662649396,0.8976452830188679,0.889307628057802,0.9059829379799339,0.8729610062893082,0.8546936461124176,0.8912283664661987
0-20,0-20,auroc,0.05,1.0,6.306959950763261,0.0032312946027253523,0.8976452830188679,0.889307628057802,0.9059829379799339,0.7897207547169811,0.7625768858892229,0.8168646235447393
0-20,0-20,auroc,0.1,0.25,0.5469916822824981,0.6134687115487951,0.8950943396226416,0.8874988303392454,0.9026898489060379,0.8911849056603774,0.8815674789669795,0.9008023323537754
0-20,0-20,auroc,0.1,0.5,1.8914965900529683,0.13152310320068708,0.8950943396226416,0.8874988303392454,0.9026898489060379,0.8829132075471697,0.8735738597488345,0.892252555345505
0-20,0-20,auroc,0.1,0.75,2.1107321448734853,0.102405898010465,0.8950943396226416,0.8874988303392454,0.9026898489060379,0.8729610062893082,0.8546936461124176,0.8912283664661987
0-20,0-20,auroc,0.1,1.0,6.484330884471709,0.002916000997703304,0.8950943396226416,0.8874988303392454,0.9026898489060379,0.7897207547169811,0.7625768858892229,0.8168646235447393
0-20,0-20,auroc,0.25,0.5,3.9498694303655504,0.016819849503744013,0.8911849056603774,0.8815674789669795,0.9008023323537754,0.8829132075471697,0.8735738597488345,0.892252555345505
0-20,0-20,auroc,0.25,0.75,1.5080286783845123,0.2060363512036348,0.8911849056603774,0.8815674789669795,0.9008023323537754,0.8729610062893082,0.8546936461124176,0.8912283664661987
0-20,0-20,auroc,0.25,1.0,6.276873690174294,0.0032888606955188576,0.8911849056603774,0.8815674789669795,0.9008023323537754,0.7897207547169811,0.7625768858892229,0.8168646235447393
0-20,0-20,auroc,0.5,0.75,0.7904660609937514,0.473481288819135,0.8829132075471697,0.8735738597488345,0.892252555345505,0.8729610062893082,0.8546936461124176,0.8912283664661987
0-20,0-20,auroc,0.5,1.0,6.485970840437375,0.0029132669879563815,0.8829132075471697,0.8735738597488345,0.892252555345505,0.7897207547169811,0.7625768858892229,0.8168646235447393
0-20,0-20,auroc,0.75,1.0,3.9029943387010593,0.017497104364292995,0.8729610062893082,0.8546936461124176,0.8912283664661987,0.7897207547169811,0.7625768858892229,0.8168646235447393
0-20,20-40,auroc,0.0,0.05,-4.403869409727521,0.011656040568580966,0.8554007321555179,0.8500276628219298,0.8607738014891061,0.8661501063506533,0.8627765036639595,0.869523709037347
0-20,20-40,auroc,0.0,0.1,-1.6041907876124695,0.1839389432805701,0.8554007321555179,0.8500276628219298,0.8607738014891061,0.8608029112586998,0.8520985562703765,0.8695072662470231
0-20,20-40,auroc,0.0,0.25,-3.232878220047214,0.03188839369981084,0.8554007321555179,0.8500276628219298,0.8607738014891061,0.866257421635726,0.8617862863020634,0.8707285569693887
0-20,20-40,auroc,0.0,0.5,-2.9904309025210702,0.04032095532969589,0.8554007321555179,0.8500276628219298,0.8607738014891061,0.864362643669845,0.8606199684399224,0.8681053188997677
0-20,20-40,auroc,0.0,0.75,-3.4685152975442866,0.02561822174490871,0.8554007321555179,0.8500276628219298,0.8607738014891061,0.8702386981329552,0.8644386429084748,0.8760387533574355
0-20,20-40,auroc,0.0,1.0,-4.792916019449104,0.008693014421383519,0.8554007321555179,0.8500276628219298,0.8607738014891061,0.8668113614330568,0.8595200326203021,0.8741026902458116
0-20,20-40,auroc,0.05,0.1,1.3879369537881063,0.23746287501409488,0.8661501063506533,0.8627765036639595,0.869523709037347,0.8608029112586998,0.8520985562703765,0.8695072662470231
0-20,20-40,auroc,0.05,0.25,-0.06937627076367912,0.9480199049434138,0.8661501063506533,0.8627765036639595,0.869523709037347,0.866257421635726,0.8617862863020634,0.8707285569693887
0-20,20-40,auroc,0.05,0.5,0.6420251853344947,0.5558019662210916,0.8661501063506533,0.8627765036639595,0.869523709037347,0.864362643669845,0.8606199684399224,0.8681053188997677
0-20,20-40,auroc,0.05,0.75,-1.3449632786071437,0.2498329995213987,0.8661501063506533,0.8627765036639595,0.869523709037347,0.8702386981329552,0.8644386429084748,0.8760387533574355
0-20,20-40,auroc,0.05,1.0,-0.14875645095549994,0.8889440283724656,0.8661501063506533,0.8627765036639595,0.869523709037347,0.8668113614330568,0.8595200326203021,0.8741026902458116
0-20,20-40,auroc,0.1,0.25,-1.4523454085187593,0.22005186468846857,0.8608029112586998,0.8520985562703765,0.8695072662470231,0.866257421635726,0.8617862863020634,0.8707285569693887
0-20,20-40,auroc,0.1,0.5,-0.604201164722301,0.5783046514302955,0.8608029112586998,0.8520985562703765,0.8695072662470231,0.864362643669845,0.8606199684399224,0.8681053188997677
0-20,20-40,auroc,0.1,0.75,-1.495337659576531,0.2091490271445979,0.8608029112586998,0.8520985562703765,0.8695072662470231,0.8702386981329552,0.8644386429084748,0.8760387533574355
0-20,20-40,auroc,0.1,1.0,-1.13009241487068,0.32161107157843527,0.8608029112586998,0.8520985562703765,0.8695072662470231,0.8668113614330568,0.8595200326203021,0.8741026902458116
0-20,20-40,auroc,0.25,0.5,0.4658764522563102,0.6655410923908756,0.866257421635726,0.8617862863020634,0.8707285569693887,0.864362643669845,0.8606199684399224,0.8681053188997677
0-20,20-40,auroc,0.25,0.75,-0.9069569995386795,0.41572565732511235,0.866257421635726,0.8617862863020634,0.8707285569693887,0.8702386981329552,0.8644386429084748,0.8760387533574355
0-20,20-40,auroc,0.25,1.0,-0.10260399646600843,0.9232153143912118,0.866257421635726,0.8617862863020634,0.8707285569693887,0.8668113614330568,0.8595200326203021,0.8741026902458116
0-20,20-40,auroc,0.5,0.75,-2.4203651967511455,0.07273432183172192,0.864362643669845,0.8606199684399224,0.8681053188997677,0.8702386981329552,0.8644386429084748,0.8760387533574355
0-20,20-40,auroc,0.5,1.0,-0.7309146493327207,0.5053417190468575,0.864362643669845,0.8606199684399224,0.8681053188997677,0.8668113614330568,0.8595200326203021,0.8741026902458116
0-20,20-40,auroc,0.75,1.0,0.6396940434875402,0.5571713048100762,0.8702386981329552,0.8644386429084748,0.8760387533574355,0.8668113614330568,0.8595200326203021,0.8741026902458116
0-20,40-60,auroc,0.0,0.05,-2.495143922818749,0.06711406011371288,0.8517263915630503,0.8477799433022769,0.8556728398238237,0.8573051035928975,0.8546677101865787,0.8599424969992162
0-20,40-60,auroc,0.0,0.1,-0.1979051735473958,0.852769929204962,0.8517263915630503,0.8477799433022769,0.8556728398238237,0.8527424553385664,0.8431119550788789,0.8623729555982539
0-20,40-60,auroc,0.0,0.25,-0.34539332024184327,0.7471978008084978,0.8517263915630503,0.8477799433022769,0.8556728398238237,0.853660133484732,0.8454430094090961,0.8618772575603679
0-20,40-60,auroc,0.0,0.5,-3.4648870031227372,0.025703021034205603,0.8517263915630503,0.8477799433022769,0.8556728398238237,0.8583437361149313,0.8533219368164269,0.8633655354134357
0-20,40-60,auroc,0.0,0.75,-2.2638644144487077,0.08631085135665509,0.8517263915630503,0.8477799433022769,0.8556728398238237,0.864075257365992,0.8548621623116337,0.8732883524203503
0-20,40-60,auroc,0.0,1.0,-2.1450290829785548,0.098529768193271,0.8517263915630503,0.8477799433022769,0.8556728398238237,0.8599543453065236,0.8517837595991727,0.8681249310138744
0-20,40-60,auroc,0.05,0.1,1.0377202378485302,0.3580105531146832,0.8573051035928975,0.8546677101865787,0.8599424969992162,0.8527424553385664,0.8431119550788789,0.8623729555982539
